1.ኣላችሁ
ጎበኝ-ጎበኘ
ሄድ-ሄደ
መሽ-መሸ
ሞት-ሞት
####
####
####
####
2.ኦች-ኦቹ-ኦችን-ኦቹን-ኦችንና-ኣችን-ኣቸው-ኦቻችን
አንበስ-አንበሳ
ሌብ-ሌባ
ውሽ-ውሻ
አበብ-አበባ
ጥጅ-ጥጃ
ቁር-ቁራ
ዝንጀር-ዝንጀሮ
ከተም-ከተማ
አስጠን-አስጠና
መላጥ-መላጣ
####
3.ት
መፅሀፍት-መፅሀፍ
####
4.ኣት
መብር-መብራት
አይ-አያት
እር-እራት
እስ-እሳት
####
